t                         x y
0.8268                    318 2.4309317539182057e-11
0.8293999999999999        319 2.2325086130790608e-11
0.832                     320 2.055785256468594e-11
0.8346                    321 1.8977230389014026e-11
0.8371999999999999        322 1.7558023364311155e-11
0.8398                    323 1.6279212375194448e-11
0.8423999999999999        324 1.5123150076469756e-11
0.845                     325 1.4074923562387532e-11
0.8475999999999999        326 1.3121850563119942e-11
0.8502                    327 1.2253080522333491e-11
0.8528                    328 1.1459277491516595e-11
0.8553999999999999        329 1.0732366665970616e-11
0.858                     330 1.0065330446833979e-11
0.8605999999999999        331 9.452043162620004e-12
0.8632                    332 8.887136123447375e-12
0.8658                    333 8.365886629696018e-12
0.8684                    334 7.884126039042056e-12
0.871                     335 7.438163115005039e-12
0.8735999999999999        336 7.024719724722712e-12
0.8762                    337 6.640876592348785e-12
0.8787999999999999        338 6.284027299280797e-12
0.8814                    339 5.951839092935459e-12
0.884                     340 5.642219351361856e-12
0.8865999999999999        341 5.353286772411505e-12
0.8892                    342 5.083346530305353e-12
0.8917999999999999        343 4.830868779021302e-12
0.8944                    344 4.594469991886874e-12
0.8969999999999999        345 4.3728967139176145e-12
0.8996                    346 4.165011374552226e-12
0.9022                    347 3.969779866090816e-12
0.9047999999999999        348 3.786260640205662e-12
0.9074                    349 3.613595113560888e-12
0.9099999999999999        350 3.450999205884674e-12
0.9126                    351 3.2977558601308064e-12
0.9152                    352 3.153208416786243e-12
0.9178                    353 3.0167547328550217e-12
0.9204                    354 2.8878419514508605e-12
0.9229999999999999        355 2.765961841552593e-12
0.9256                    356 2.650646637951756e-12
0.9281999999999999        357 2.5414653215173945e-12
0.9308                    358 2.4380202873955163e-12
0.9334                    359 2.339944355897318e-12
0.9359999999999999        360 2.2468980867111223e-12
0.9386                    361 2.158567361814581e-12
0.9411999999999999        362 2.074661207202223e-12
0.9438                    363 1.9949098269477595e-12
0.9463999999999999        364 1.919062826419523e-12
0.949                     365 1.846887604485118e-12
0.9516                    366 1.7781678964597315e-12
0.9541999999999999        367 1.7127024522993714e-12
0.9568                    368 1.6503038358116554e-12
0.9593999999999999        369 1.590797332574164e-12
0.962                     370 1.5340199556228484e-12
0.9645999999999999        371 1.4798195390499943e-12
0.9672                    372 1.4280539108768345e-12
0.9698                    373 1.3785901374794618e-12
0.9723999999999999        374 1.331303832572665e-12
0.975                     375 1.2860785247856882e-12
0.9775999999999999        376 1.2428050779938645e-12
0.9802                    377 1.2013811598373255e-12
0.9828                    378 1.1617107536368007e-12
0.9853999999999999        379 1.1237037099861136e-12
0.988                     380 1.0872753343174684e-12
0.9905999999999999        381 1.0523460072395206e-12
0.9932                    382 1.018840834721913e-12
0.9957999999999999        383 9.866893256102437e-13
0.9984                    384 9.55825093891381e-13
1.001                     385 9.261855838574855e-13
1.0036                    386 8.977118159437243e-13
1.0062                    387 8.703481516863179e-13
1.0088                    388 8.440420761191305e-13
1.0113999999999999        389 8.187439961835054e-13
1.014                     390 7.944070538637855e-13
1.0166                    391 7.709869527444736e-13
1.0191999999999999        392 7.484417971104371e-13
1.0218                    393 7.267319423667031e-13
1.0244                    394 7.058198560411659e-13
1.027                     395 6.856699884060078e-13
1.0295999999999998        396 6.662486521999624e-13
1.0322                    397 6.475239104085139e-13
1.0348                    398 6.294654718332808e-13
1.0373999999999999        399 6.120445935819332e-13
1.04                      400 5.952339901833583e-13
1.0426                    401 5.7900774864726e-13
1.0452                    402 5.633412491530597e-13
1.0477999999999998        403 5.482110909154372e-13
1.0504                    404 5.335950228285613e-13
1.053                     405 5.194718785789169e-13
1.0555999999999999        406 5.058215158937609e-13
1.0582                    407 4.92624759647143e-13
1.0608                    408 4.798633484949264e-13
1.0634                    409 4.675198848130455e-13
1.066                     410 4.555777879005442e-13
1.0686                    411 4.4402124979639747e-13
1.0712                    412 4.328351939301636e-13
1.0737999999999999        413 4.2200523635551006e-13
1.0764                    414 4.115176490567907e-13
1.079                     415 4.013593257566906e-13
1.0816                    416 3.91517749460811e-13
1.0842                    417 3.8198096206669196e-13
1.0868                    418 3.727375356983683e-13
1.0894                    419 3.6377654572754117e-13
1.0919999999999999        420 3.5508754534693185e-13
1.0946                    421 3.466605414937114e-13
1.0972                    422 3.384859722800878e-13
